,params,mean_train_Acc,mean_test_Acc
108,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.08246938775510204, 'n_estimators': 150}",0.96220797175184,0.5446822293320693
109,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.0926530612244898, 'n_estimators': 150}",0.9569091652541303,0.5495187028478888
110,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.10283673469387755, 'n_estimators': 150}",0.9465792102457107,0.5491643954654974
111,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.1130204081632653, 'n_estimators': 150}",0.9364267675309551,0.5467640320733104
112,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.12320408163265306, 'n_estimators': 150}",0.925905834619693,0.5488910613421811
113,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.13338775510204082, 'n_estimators': 150}",0.9217734238297548,0.5532277718529051
114,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.14357142857142857, 'n_estimators': 150}",0.8997523377957077,0.5596648497057313
115,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.15375510204081633, 'n_estimators': 150}",0.8988835830560654,0.5601033890271357
116,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.16393877551020408, 'n_estimators': 150}",0.8849565118458439,0.5621746257455466
117,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.17412244897959184, 'n_estimators': 150}",0.8747146537650028,0.5633320496109332
118,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.1843061224489796, 'n_estimators': 150}",0.8676070715352868,0.5675231070031994
119,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.19448979591836735, 'n_estimators': 150}",0.8617822593994078,0.5666007030848836
120,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.2046734693877551, 'n_estimators': 150}",0.8565703639831257,0.5655601967057707
121,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.21485714285714286, 'n_estimators': 150}",0.8429153241690629,0.5608072638938264
122,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.2250408163265306, 'n_estimators': 150}",0.8353082975440901,0.573176916696291
123,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.23522448979591837, 'n_estimators': 150}",0.8246057890250313,0.571041395110005
124,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.24540816326530612, 'n_estimators': 150}",0.8220377210282495,0.5619735750681359
125,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.2555918367346939, 'n_estimators': 150}",0.8129712824204348,0.5634687166725916
126,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.26577551020408163, 'n_estimators': 150}",0.8024179574104798,0.5695806177667181
127,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.2759591836734694, 'n_estimators': 150}",0.7998962165412813,0.5734100604337006
128,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.28614285714285714, 'n_estimators': 150}",0.7944410376763318,0.5701973970059644
129,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.2963265306122449, 'n_estimators': 150}",0.7799806639711924,0.5666547181735592
130,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.30651020408163265, 'n_estimators': 150}",0.7844802368954912,0.5727208990006716
